2020-09-19 00:42:22.210 [main] INFO  book.Books2 - Starting Books
2020-09-19 00:42:22.212 [main] INFO  book.Books2 - 2020-09-19T07:42:22.212111200Z
2020-09-19 00:42:22.220 [main] DEBUG book.db.Database - Loading database properties from db.properties
2020-09-19 00:42:22.223 [main] DEBUG book.db.Database - com.microsoft.sqlserver.jdbc.SQLServerDriver
2020-09-19 00:42:22.841 [main] DEBUG book.db.Database - Database connected
2020-09-19 00:42:22.987 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWCustomer
2020-09-19 00:42:23.023 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWBook
2020-09-19 00:42:23.072 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWPurchase
2020-09-19 00:42:23.073 [main] DEBUG book.Books2 - Creating the UI
2020-09-19 00:42:23.133 [main] INFO  book.Books2 - 2020-09-19T07:42:23.133110700Z
2020-09-19 00:42:23.134 [main] INFO  book.Books2 - Duration: 920 ms
2020-09-19 00:42:23.135 [main] INFO  book.Books2 - Books has stopped
2020-09-19 00:42:26.388 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 95
2020-09-19 00:42:26.402 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 96
2020-09-19 00:42:26.416 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 97
2020-09-19 00:42:26.435 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 98
2020-09-19 00:42:26.450 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 99
2020-09-19 00:42:26.463 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 100
2020-09-19 00:42:26.476 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 101
2020-09-19 00:42:26.490 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 102
2020-09-19 00:42:26.504 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 103
2020-09-19 00:42:26.518 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 104
2020-09-19 00:42:26.531 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 105
2020-09-19 00:42:26.546 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 106
2020-09-19 00:42:26.560 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 107
2020-09-19 00:42:26.574 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 108
2020-09-19 00:42:26.588 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 109
2020-09-19 00:42:26.604 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 110
2020-09-19 00:42:26.617 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 111
2020-09-19 00:42:26.630 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 112
2020-09-19 00:42:26.643 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 113
2020-09-19 00:42:26.657 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 114
